paris-venues-link-container href,sc-bdnyFh,sc-bdnyFh 2,sc-bdnyFh 4,lazyload src
https://olympics.com/en/paris-2024/venues/aquatics-centre,Artistic Swimming,Diving,Aquatics Centre,
https://olympics.com/en/paris-2024/venues/bercy-arena,Artistic Gymnastics,Basketball,Bercy Arena,
https://olympics.com/en/paris-2024/venues/bordeaux-stadium,Football,,Bordeaux Stadium,
https://olympics.com/en/paris-2024/venues/champ-de-mars-arena,Judo,Wrestling,Champ de Mars Arena,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/i70myvzy7xdcvzix0qpt
https://olympics.com/en/paris-2024/venues/chateau-de-versailles,Equestrian,Modern Pentathlon,Château de Versailles,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/y7xlwlk8nfvpia9jlitq
https://olympics.com/en/paris-2024/venues/chateauroux-shooting-centre,Shooting,,Chateauroux Shooting Centre,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/xoflwl1l38n9vebazxnf
https://olympics.com/en/paris-2024/venues/eiffel-tower-stadium,Beach Volleyball,,Eiffel Tower Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/zu53q5kn1qo1ijg2dupc
https://olympics.com/en/paris-2024/venues/elancourt-hill,Cycling Mountain Bike,,Elancourt Hill,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/kvjyrwovjuwzrg4cz4h9
https://olympics.com/en/paris-2024/venues/geoffroy-guichard-stadium,Football,,Geoffroy-Guichard Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/hd99ljofaoyqxd4xhpjj
https://olympics.com/en/paris-2024/venues/grand-palais,Fencing,Taekwondo,Grand Palais,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/isejdmd8ox6attvfqjkg
https://olympics.com/en/paris-2024/venues/hotel-de-ville,Athletics,,Hôtel de Ville,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/x2gqogcosqtmh4z5ewea
https://olympics.com/en/paris-2024/venues/invalides,Archery,Athletics,Invalides,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/vsoxjhgouhfczq9ks4av
https://olympics.com/en/paris-2024/venues/la-beaujoire-stadium,Football,,La Beaujoire Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/t4mmbub6yed1nkdy7ili
https://olympics.com/en/paris-2024/venues/la-concorde,3x3 Basketball,Breaking,La Concorde,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/dkysx7e06ynhwfb3v0w9
https://olympics.com/en/paris-2024/venues/le-bourget-climbing-venue,Sport Climbing,,Le Bourget Sport Climbing Venue,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/h2y8zihm7edycdzwkrsa
https://olympics.com/en/paris-2024/venues/le-golf-national,Golf,,Golf National,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/aq7kowcwlmh8nqp8z8zr
https://olympics.com/en/paris-2024/venues/lyon-stadium,Football,,Lyon Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/beekk7tvfg9hzosbxccr
https://olympics.com/en/paris-2024/venues/marseille-marina,Sailing,,Marseille Marina,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/a3dg9k4vqcvfwltczrxn
https://olympics.com/en/paris-2024/venues/marseille-stadium,Football,,Marseille Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/ziotfeuhilbeeh6amsal
https://olympics.com/en/paris-2024/venues/nice-stadium,Football,,Nice Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/gkdqkzamz08sdohss8uw
https://olympics.com/en/paris-2024/venues/north-paris-arena,Boxing,Modern Pentathlon,North Paris Arena,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/ueupjchxueao6ta0a8jn
https://olympics.com/en/paris-2024/venues/parc-des-princes,Football,,Parc des Princes,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/xxi7qpjhwhh1tqewooib
https://olympics.com/en/paris-2024/venues/paris-la-defense-arena,Swimming,Water Polo,Paris La Defense Arena,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/v6t0hesg2db1d5gzqb3i
https://olympics.com/en/paris-2024/venues/pierre-mauroy-stadium,Basketball,Handball,Pierre Mauroy Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/gdipnj8m9xgxekrvnck8
https://olympics.com/en/paris-2024/venues/pont-alexandre-iii,Cycling Road,Marathon Swimming,Pont Alexandre III,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/yhjrtevgfd8fac6blbau
https://olympics.com/en/paris-2024/venues/porte-de-la-chapelle-arena,Badminton,Rhythmic Gymnastics,Porte de La Chapelle Arena,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/dhkind8lbuoz8rsmg6u8
https://olympics.com/en/paris-2024/venues/roland-garros-stadium,Boxing,Tennis,Stade Roland-Garros,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/j2gawyfdwsdxjmxjy0fy
https://olympics.com/en/paris-2024/venues/saint-quentin-en-yvelines-bmx-stadium,Cycling BMX Racing,,Saint-Quentin-en-Yvelines BMX Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/lcbrslxdtvbjf1hlr4ak
https://olympics.com/en/paris-2024/venues/saint-quentin-en-yvelines-velodrome,Cycling Track,,Saint-Quentin-en-Yvelines Velodrome,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/h95mr152jgubt6n4mlm5
https://olympics.com/en/paris-2024/venues/south-paris-arena,Handball,Table Tennis,South Paris Arena,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/hxy4xq7xymfyls2qo8jt
https://olympics.com/en/paris-2024/venues/stade-de-france,Athletics,Rugby Sevens,Stade de France,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/i1naqsyg7mz34coh7jyu
https://olympics.com/en/paris-2024/venues/teahupo-o-tahiti,Surfing,,"Teahupo'o, Tahiti",https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/vyrautndtymumlewyf0x
https://olympics.com/en/paris-2024/venues/trocadero,Athletics,Cycling Road,Trocadéro,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/r9tenlae4f7wfb3w1xhn
https://olympics.com/en/paris-2024/venues/vaires-sur-marne-nautical-stadium,Canoe Slalom,Canoe Sprint,Vaires-sur-Marne Nautical Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/ds4on9lqxe03vrl9urbx
https://olympics.com/en/paris-2024/venues/yves-du-manoir-stadium,Hockey,,Yves-du-Manoir Stadium,https://img.olympics.com/images/image/private/t_16-9_640/f_auto/primary/tzvgxey7cbfreyala4wo
