name,address,cuisine,rating
La Belle Époque,7 Rue de la Paix,French,4.5
Le Petit Jardin,14 Avenue de la République,Italian,3.8
Le Coq Rouge,23 Rue du Faubourg Saint-Antoine,Japanese,4.2
Café des Artistes,9 Rue de Rivoli,Indian,4.0
La Maison Bleue,42 Boulevard Haussmann,American,4.8
Chez Pierre,18 Rue des Rosiers,French,4.3
Sakura Sushi Bar,35 Rue Sainte-Anne,Japanese,4.7
Trattoria Roma,55 Rue de Paradis,Italian,3.9
The Blue Dragon,3 Avenue de l'Opéra,Chinese,4.1
Le Café Parisien,28 Boulevard des Capucines,French,4.6
El Mariachi,17 Rue de Charonne,Mexican,3.5
Peking Duck House,91 Rue de Rivoli,Chinese,4.4
Ristorante Piazza,8 Rue du Faubourg Montmartre,Italian,4.2
Moulin Rouge Bistro,19 Avenue de Clichy,French,4.8
Oishi Ramen Bar,64 Boulevard de la Villette,Japanese,4.0
Bombay Spice,26 Rue de la Michodière,Indian,4.5
The Green Parrot,12 Rue des Petits Champs,American,4.9
Casa Latina,38 Rue de la Roquette,Mexican,4.2
Golden Dragon,11 Rue des Pyramides,Chinese,4.3
Le Chat Noir,68 Boulevard de Clichy,French,4.7
Bella Napoli,9 Rue de Lancry,Italian,4.0
Sushi House,22 Rue de la Huchette,Japanese,4.6
Masala Kitchen,57 Rue du Faubourg Saint-Denis,Indian,3.8
The Southern Belle,4 Rue du Faubourg Poissonnière,American,4.4
Taco Time,15 Rue des Archives,Mexican,4.1
